id,model,variant,temperature,question,reference,prediction,latency,pred_len,em,f1,bleu,sem
69207,openai/gpt-4.1-nano,short,0.0,Какое право существовало у лордов,отвергать билль,"У лордов существовало право отвергать билль, прошедший палату общин, за исключением некоторых типов биллей, которые могли быть представлены на Королевское Утверждение без их согласия. Также у них было ограничение по задержке денежного билля — не более одного месяца, и по задержке других публичных биллей — не более двух парламентских ассамблей или одного календарного года.",1.2357006072998047,374,0,0.07692307692307693,1.2089503751329373,0.5268422
23039,openai/gpt-4.1-nano,short,0.0,Чему неуклонно следуют банки?,Требованиям обязательного резервирования.,Банки неуклонно следуют требованиям обязательного резервирования.,0.7529551982879639,65,0,0.6666666666666666,24.446151121745054,0.55591786
77659,openai/gpt-4.1-nano,short,0.0,Сколько тысяч лет назад началась эпоха экстремальных затоплений?,16 тыс. л. н,Эпоха экстремальных затоплений началась около 16 тысяч лет назад.,1.1996936798095703,65,0,0.15384615384615383,4.990049701936832,0.5015622
4889,openai/gpt-4.1-nano,short,0.0,Какой феномен создан людьми для достижения его в максимально отдаленном будущем?,Феномена последнего человека на земле .,"Феномен, созданный людьми для достижения его в максимально отдаленном будущем, — это последний человек на земле, в лице которого персонифицируется победа над смертностью и победа жизни над смертью как таковой.",1.000551462173462,209,0,0.07142857142857142,2.4092489848483227,0.67110825
18286,openai/gpt-4.1-nano,short,0.0,"Что как и автобус, движется по автомобильной дороге с твёрдым покрытием?",Троллейбус,"Троллейбус, как и автобус, движется по автомобильной дороге с твёрдым покрытием.",2.20408034324646,80,0,0.19999999999999998,2.8398387225677895,0.7882179
21733,openai/gpt-4.1-nano,short,0.0,Как расположены островные платформы на станциях с остановкой экспресса?,между путями одного направления,На станциях с остановкой экспресса островные платформы расположены между путями одного направления.,0.664442777633667,99,0,0.5714285714285715,19.338531381761726,0.430144
13047,openai/gpt-4.1-nano,short,0.0,Какой аспект вызывает большое количество споров между религиозными и научными взглядами?,аспект эволюционной биологии,"Большое количество споров между религиозными и научными взглядами вызывает аспект происхождения человека и его родственные отношения с обезьянами, а также возникновение умственных способностей и моральных качеств у людей.",1.0288479328155518,221,0,0.07692307692307691,1.2414943415352928,0.46619332
39949,openai/gpt-4.1-nano,short,0.0,Кто в 1974 году записал рок-альбом Benzaiten?,Osamu Kitajima,В 1974 году рок-альбом Benzaiten записал Osamu Kitajima.,1.4501986503601074,56,0,0.4,9.535414040914189,0.35234863
19528,openai/gpt-4.1-nano,short,0.0,Какие системы стали крупными вехами в области систематики?,системы Симпсона,Крупными вехами в области систематики млекопитающих стали системы Симпсона (1945) и Маккенны (1975).,0.8020555973052979,100,0,0.3076923076923077,4.295382417831811,0.56620646
59486,openai/gpt-4.1-nano,short,0.0,Каким сообщением шел поезд №12?,Смоленск — Раненбург,Поезд № 12 шел сообщением Смоленск — Раненбург.,0.7183947563171387,47,0,0.4444444444444445,17.747405280050266,0.56800675
36533,openai/gpt-4.1-nano,short,0.0,Чего не имеет большинство прокариотических клеток?,внутренних мембран,"Большинство прокариотических клеток не имеют внутренних мембран, которые разделяют цитоплазму на отдельные компартменты.",1.0290818214416504,120,0,0.2857142857142857,5.255923420816887,0.40998098
2041,openai/gpt-4.1-nano,short,0.0,"Какая промышленность отдаёт предпочтение тутовому, или шелковичному, шелкопряду?",Текстильная,"Текстильная промышленность отдаёт предпочтение тутовому, или шелковичному, шелкопряду.",0.8113715648651123,86,0,0.2222222222222222,3.7477767366779213,0.59876215
44742,openai/gpt-4.1-nano,short,0.0,Что делают археоциты и хоаноциты?,переваривают пищу в пищеварительных вакуолях,"Археоциты и хоаноциты переваривают пищу в пищеварительных вакуолях, а также археоциты способны запасать питательные вещества (гликоген и липиды).",0.8172042369842529,145,0,0.4444444444444445,16.1692143534558,0.6466055
59701,openai/gpt-4.1-nano,short,0.0,В какие годы производилась бас-мандолина Гибсон Мандо-бас Фирмой Гибсон ?,С 1912 по 1930 годы.,Бас-мандолина Гибсон Мандо-бас производилась фирмой Гибсон с 1912 по 1930 годы.,0.7827837467193604,79,0,0.5,31.702331385234313,0.435418
27575,openai/gpt-4.1-nano,short,0.0,В чем роль специалиста по связям с общественность?,в коммуникации с массовой аудиторией различными способами,"Роль специалиста по связям с общественностью заключается в коммуникации с массовой аудиторией различными способами, направленными на донесение информации о компании, укрепление её имиджа, установление контактов со СМИ и организацию мероприятий, а также в стратегическом позиционировании компании на рынке.",1.1783480644226074,305,0,0.29411764705882354,12.97715294125096,0.67569125
15585,openai/gpt-4.1-nano,short,0.0,Чем являлась Новая Рейнская газета для К. Маркса и Ф. Энгельса?,Партийной прессой.,Для К. Маркса и Ф. Энгельса Новая Рейнская газета являлась средством борьбы с буржуазной прессой и инструментом для проведения полемики с другими органами печати.,0.9103922843933105,162,0,0.09090909090909091,1.6504045595709422,0.4773624
41428,openai/gpt-4.1-nano,short,0.0,"На сколько процентов объём отгруженных товаров собственного производства, выполненных работ и услуг по крупным и средним промышленным предприятиям в 2010 году больше, чем в 2009 году?","На 26,1 процента больше.","Объём отгруженных товаров собственного производства, выполненных работ и услуг по крупным и средним промышленным предприятиям в 2010 году больше, чем в 2009 году, на 26,1 процента.",3.205862045288086,180,0,0.3076923076923077,2.952787808378777,0.5310969
63271,openai/gpt-4.1-nano,short,0.0,Сколько лет происходит развитие мозговой массы?,до 20 лет.,Развитие мозговой массы продолжается до 20 лет.,0.6528394222259521,47,0,0.6,34.57207846419409,0.65390825
68313,openai/gpt-4.1-nano,short,0.0,Что появилось вследствие сравнительно-исторического исследования индоиранской ветви индоевропейских языков?,термин индоиранские языки,"Вследствие сравнительно-исторического исследования индоиранской ветви индоевропейских языков появился термин ""индоиранские языки"" и было признано, что схема распада праарийского языка была значительно сложнее простого деления на индоарийскую и иранскую группы.",2.587498903274536,260,0,0.19999999999999998,2.4858281414101677,0.7109684
80474,openai/gpt-4.1-nano,short,0.0,Вследствие чего возникают сезоны?,вследствие наклона земной оси относительно плоскости орбиты,"Сезоны возникают вследствие наклона земной оси относительно плоскости орбиты, из-за чего одна часть планеты получает больше солнечной энергии летом, а другая — зимой.",1.1232330799102783,166,0,0.4827586206896552,21.996658526329096,0.6881912
66281,openai/gpt-4.1-nano,short,0.0,"Какой статьей допускаются исключения в отношении запрета, установленного частью 6 статьи 9?",частью 4 статьи 9 Закона о торговле,"Исключения в отношении запрета, установленного частью 6 статьи 9, допускаются частью 4 статьи 9 Закона о торговле.",0.9301555156707764,114,0,0.6086956521739131,29.153692299445225,0.7305206
45026,openai/gpt-4.1-nano,short,0.0,"При игре на каком инструменте используется ударный способ, когда медные тангеноты вдавливают струны в твёрдую поверхность и заставляют их вибрировать от удара?",на клавикорде,"При игре на клавикорде используется ударный способ, когда медные тангеноты вдавливают струны в твёрдую поверхность и заставляют их вибрировать от удара.",1.0713574886322021,152,0,0.10526315789473684,3.2933284838220014,0.73128843
59480,openai/gpt-4.1-nano,short,0.0,Кто частично финансировал проект Луи?,старший брат Огюст,Старший брат Огюст.,0.596839427947998,19,1,1.0,31.947155212313625,0.978822
76436,openai/gpt-4.1-nano,short,0.0,Что образуется в результате выделения газов при быстром застывании кислых и средних лав?,пористое вулканическое стекло,В результате выделения газов при быстром застывании кислых и средних лав образуется пористое вулканическое стекло — пемза.,0.9894757270812988,122,0,0.35294117647058826,7.994607499472017,0.76020336
14891,openai/gpt-4.1-nano,short,0.0,Для чего пути кладутся с учётом габаритов подвижного состава?,"для безопасного прохода по мостам, тоннелям и другим строениям","Пути кладутся с учётом габаритов подвижного состава для обеспечения безопасного прохода вагонов и грузов по мостам, тоннелям и другим сооружениям, чтобы избежать столкновений и повреждений.",0.8222219944000244,189,0,0.48275862068965514,19.05614125685684,0.7402871
20762,openai/gpt-4.1-nano,short,0.0,"Что оценивают, определяя меру развития государственного регулирования?","селективное регулирование, антициклическое регулирование, программирование","Определяя меру развития государственного регулирования, оценивают такие его формы, как селективное регулирование, антициклическое регулирование, программирование, а также регулирование со стороны общественных объединений.",0.9991350173950195,221,0,0.4,20.333448190047886,0.734208
82940,openai/gpt-4.1-nano,short,0.0,На что надеется автор?,это поможет решить проблемы человеческого общества,"Автор надеется, что гармоничное сочетание лучших черт восточной и западной культур поможет создать новые и лучшие принципы для человеческого общества в 21 веке, а также популяризация этических теорий Китая в Западном мире, что, по его мнению, поможет решить проблемы человеческого общества, которые каждая культура по отдельности не в состоянии решить.",0.9512686729431152,352,0,0.20408163265306123,5.964725726909486,0.6103259
379,openai/gpt-4.1-nano,short,0.0,Куда Карл неоднократно вторгался?,В Бретань.,Карл неоднократно вторгался в Бретань.,0.6921191215515137,38,0,0.4,16.233395773754946,0.4774209
28946,openai/gpt-4.1-nano,short,0.0,Что позволила изобразить писателю свойственная ему объективность?,Динамику внутренней жизни героев.,"Свойственная писателю объективность позволила ему глубоко и правдиво изобразить динамику внутренней жизни героев, которая не подчинена у Толстого каким-либо изначально заданным схемам и стереотипам.",0.9414846897125244,198,0,0.29629629629629634,5.7783239927083425,0.536708
42607,openai/gpt-4.1-nano,short,0.0,"В каком году Сакс приехал в Париж, для того, чтобы продвинуть саксофон?",1842,В 1842 году.,0.9174072742462158,12,0,0.6666666666666666,15.97357760615681,0.90973806
43591,openai/gpt-4.1-nano,short,0.0,Какой фасад имеет вид театральной декорации?,Двухъярусный,"Фасад, украшенный колоннами и имеющий двухъярусную структуру, имеет вид театральной декорации.",0.7190427780151367,94,0,0.0,0.0,0.36267322
80345,openai/gpt-4.1-nano,short,0.0,С какого момепнта управлению Сибирью перешло к казанскому дворцу?,С 1599 г.,Управление Сибирью перешло к казанскому дворцу с 1599 года.,1.126643180847168,59,0,0.2,4.990049701936832,0.52063733
8167,openai/gpt-4.1-nano,short,0.0,"Как называлось первое устройство, использующееся только в качестве микрофона?",угольный микрофон Эдисона,"Первое устройство, использовавшееся только в качестве микрофона, называлось угольным микрофоном Эдисона.",0.9192228317260742,104,0,0.15384615384615383,2.8398387225677895,0.7175547
