id,model,variant,temperature,question,reference,prediction,latency,pred_len
69207,google/gemini-2.5-flash-lite,detailed,0.3,Какое право существовало у лордов,отвергать билль,право отвергать билль,0.4861013889312744,21
23039,google/gemini-2.5-flash-lite,detailed,0.3,Чему неуклонно следуют банки?,Требованиям обязательного резервирования.,нет ответа,0.5103530883789062,10
77659,google/gemini-2.5-flash-lite,detailed,0.3,Сколько тысяч лет назад началась эпоха экстремальных затоплений?,16 тыс. л. н,16,0.5106792449951172,2
4889,google/gemini-2.5-flash-lite,detailed,0.3,Какой феномен создан людьми для достижения его в максимально отдаленном будущем?,Феномена последнего человека на земле .,феномен последнего человека на земле,0.442216157913208,36
18286,google/gemini-2.5-flash-lite,detailed,0.3,"Что как и автобус, движется по автомобильной дороге с твёрдым покрытием?",Троллейбус,Троллейбус,0.36451268196105957,10
21733,google/gemini-2.5-flash-lite,detailed,0.3,Как расположены островные платформы на станциях с остановкой экспресса?,между путями одного направления,между путями одного направления,0.40131497383117676,31
13047,google/gemini-2.5-flash-lite,detailed,0.3,Какой аспект вызывает большое количество споров между религиозными и научными взглядами?,аспект эволюционной биологии,происхождение человека,0.4261658191680908,22
39949,google/gemini-2.5-flash-lite,detailed,0.3,Кто в 1974 году записал рок-альбом Benzaiten?,Osamu Kitajima,Osamu Kitajima,0.33138608932495117,14
19528,google/gemini-2.5-flash-lite,detailed,0.3,Какие системы стали крупными вехами в области систематики?,системы Симпсона,системы Симпсона и Маккенны,0.3849368095397949,27
59486,google/gemini-2.5-flash-lite,detailed,0.3,Каким сообщением шел поезд №12?,Смоленск — Раненбург,Смоленск — Раненбург,0.41385602951049805,20
36533,google/gemini-2.5-flash-lite,detailed,0.3,Чего не имеет большинство прокариотических клеток?,внутренних мембран,внутренних мембран,0.5241794586181641,18
2041,google/gemini-2.5-flash-lite,detailed,0.3,"Какая промышленность отдаёт предпочтение тутовому, или шелковичному, шелкопряду?",Текстильная,Текстильная промышленность,0.4949793815612793,26
44742,google/gemini-2.5-flash-lite,detailed,0.3,Что делают археоциты и хоаноциты?,переваривают пищу в пищеварительных вакуолях,переваривают пищу в пищеварительных вакуолях,1.1265068054199219,44
59701,google/gemini-2.5-flash-lite,detailed,0.3,В какие годы производилась бас-мандолина Гибсон Мандо-бас Фирмой Гибсон ?,С 1912 по 1930 годы.,с 1912 по 1930 годы,0.44358348846435547,19
27575,google/gemini-2.5-flash-lite,detailed,0.3,В чем роль специалиста по связям с общественность?,в коммуникации с массовой аудиторией различными способами,коммуникация с массовой аудиторией,0.4783329963684082,34
15585,google/gemini-2.5-flash-lite,detailed,0.3,Чем являлась Новая Рейнская газета для К. Маркса и Ф. Энгельса?,Партийной прессой.,редактируемая ими газета,0.5265705585479736,24
41428,google/gemini-2.5-flash-lite,detailed,0.3,"На сколько процентов объём отгруженных товаров собственного производства, выполненных работ и услуг по крупным и средним промышленным предприятиям в 2010 году больше, чем в 2009 году?","На 26,1 процента больше.","26,1 процента",0.49765491485595703,13
63271,google/gemini-2.5-flash-lite,detailed,0.3,Сколько лет происходит развитие мозговой массы?,до 20 лет.,до 20 лет,0.7516357898712158,9
68313,google/gemini-2.5-flash-lite,detailed,0.3,Что появилось вследствие сравнительно-исторического исследования индоиранской ветви индоевропейских языков?,термин индоиранские языки,термин индоиранские языки,0.5389037132263184,25
80474,google/gemini-2.5-flash-lite,detailed,0.3,Вследствие чего возникают сезоны?,вследствие наклона земной оси относительно плоскости орбиты,наклона земной оси,0.4553360939025879,18
66281,google/gemini-2.5-flash-lite,detailed,0.3,"Какой статьей допускаются исключения в отношении запрета, установленного частью 6 статьи 9?",частью 4 статьи 9 Закона о торговле,частью 4 статьи 9,1.128422737121582,17
45026,google/gemini-2.5-flash-lite,detailed,0.3,"При игре на каком инструменте используется ударный способ, когда медные тангеноты вдавливают струны в твёрдую поверхность и заставляют их вибрировать от удара?",на клавикорде,клавикорд,0.606508731842041,9
59480,google/gemini-2.5-flash-lite,detailed,0.3,Кто частично финансировал проект Луи?,старший брат Огюст,Огюст,0.5168533325195312,5
76436,google/gemini-2.5-flash-lite,detailed,0.3,Что образуется в результате выделения газов при быстром застывании кислых и средних лав?,пористое вулканическое стекло,Пемза,0.6142172813415527,5
14891,google/gemini-2.5-flash-lite,detailed,0.3,Для чего пути кладутся с учётом габаритов подвижного состава?,"для безопасного прохода по мостам, тоннелям и другим строениям","для безопасного прохода по мостам, тоннелям и другим строениям",0.42585206031799316,62
20762,google/gemini-2.5-flash-lite,detailed,0.3,"Что оценивают, определяя меру развития государственного регулирования?","селективное регулирование, антициклическое регулирование, программирование","антимонополистическое регулирование, селективное регулирование, антициклическое регулирование, программирование",0.5570547580718994,111
82940,google/gemini-2.5-flash-lite,detailed,0.3,На что надеется автор?,это поможет решить проблемы человеческого общества,решить проблемы человеческого общества в 21 веке,0.3917975425720215,48
379,google/gemini-2.5-flash-lite,detailed,0.3,Куда Карл неоднократно вторгался?,В Бретань.,Бретань,0.495851993560791,7
28946,google/gemini-2.5-flash-lite,detailed,0.3,Что позволила изобразить писателю свойственная ему объективность?,Динамику внутренней жизни героев.,динамику внутренней жизни героев,0.4024784564971924,32
42607,google/gemini-2.5-flash-lite,detailed,0.3,"В каком году Сакс приехал в Париж, для того, чтобы продвинуть саксофон?",1842,1842,1.2137131690979004,4
43591,google/gemini-2.5-flash-lite,detailed,0.3,Какой фасад имеет вид театральной декорации?,Двухъярусный,Двухъярусный,0.4286973476409912,12
80345,google/gemini-2.5-flash-lite,detailed,0.3,С какого момепнта управлению Сибирью перешло к казанскому дворцу?,С 1599 г.,с 1599 г,0.3871345520019531,8
