id,model,variant,temperature,question,reference,prediction,latency,pred_len
69207,google/gemini-2.5-flash-lite,detailed,0.7,Какое право существовало у лордов,отвергать билль,отвергать билль,0.4400789737701416,15
23039,google/gemini-2.5-flash-lite,detailed,0.7,Чему неуклонно следуют банки?,Требованиям обязательного резервирования.,нет ответа,0.36997509002685547,10
77659,google/gemini-2.5-flash-lite,detailed,0.7,Сколько тысяч лет назад началась эпоха экстремальных затоплений?,16 тыс. л. н,16,0.5872294902801514,2
4889,google/gemini-2.5-flash-lite,detailed,0.7,Какой феномен создан людьми для достижения его в максимально отдаленном будущем?,Феномена последнего человека на земле .,феномен последнего человека на земле,0.581357479095459,36
18286,google/gemini-2.5-flash-lite,detailed,0.7,"Что как и автобус, движется по автомобильной дороге с твёрдым покрытием?",Троллейбус,Троллейбус,0.5064315795898438,10
21733,google/gemini-2.5-flash-lite,detailed,0.7,Как расположены островные платформы на станциях с остановкой экспресса?,между путями одного направления,между путями одного направления,0.5180599689483643,31
13047,google/gemini-2.5-flash-lite,detailed,0.7,Какой аспект вызывает большое количество споров между религиозными и научными взглядами?,аспект эволюционной биологии,происхождение человека,0.40647339820861816,22
39949,google/gemini-2.5-flash-lite,detailed,0.7,Кто в 1974 году записал рок-альбом Benzaiten?,Osamu Kitajima,Osamu Kitajima,0.3610806465148926,14
19528,google/gemini-2.5-flash-lite,detailed,0.7,Какие системы стали крупными вехами в области систематики?,системы Симпсона,системы Симпсона и Маккенны,0.666806697845459,27
59486,google/gemini-2.5-flash-lite,detailed,0.7,Каким сообщением шел поезд №12?,Смоленск — Раненбург,Смоленск — Раненбург,0.4277036190032959,20
36533,google/gemini-2.5-flash-lite,detailed,0.7,Чего не имеет большинство прокариотических клеток?,внутренних мембран,внутренних мембран,0.3851029872894287,18
2041,google/gemini-2.5-flash-lite,detailed,0.7,"Какая промышленность отдаёт предпочтение тутовому, или шелковичному, шелкопряду?",Текстильная,Текстильная промышленность,0.5113205909729004,26
44742,google/gemini-2.5-flash-lite,detailed,0.7,Что делают археоциты и хоаноциты?,переваривают пищу в пищеварительных вакуолях,переваривают пищу в пищеварительных вакуолях,0.47935009002685547,44
59701,google/gemini-2.5-flash-lite,detailed,0.7,В какие годы производилась бас-мандолина Гибсон Мандо-бас Фирмой Гибсон ?,С 1912 по 1930 годы.,с 1912 по 1930 годы,0.3765451908111572,19
27575,google/gemini-2.5-flash-lite,detailed,0.7,В чем роль специалиста по связям с общественность?,в коммуникации с массовой аудиторией различными способами,коммуникация с массовой аудиторией,0.3879539966583252,34
15585,google/gemini-2.5-flash-lite,detailed,0.7,Чем являлась Новая Рейнская газета для К. Маркса и Ф. Энгельса?,Партийной прессой.,редактируемая ими газета,0.3950960636138916,24
41428,google/gemini-2.5-flash-lite,detailed,0.7,"На сколько процентов объём отгруженных товаров собственного производства, выполненных работ и услуг по крупным и средним промышленным предприятиям в 2010 году больше, чем в 2009 году?","На 26,1 процента больше.","26,1 процента",0.5107996463775635,13
63271,google/gemini-2.5-flash-lite,detailed,0.7,Сколько лет происходит развитие мозговой массы?,до 20 лет.,до 20 лет,0.41159963607788086,9
68313,google/gemini-2.5-flash-lite,detailed,0.7,Что появилось вследствие сравнительно-исторического исследования индоиранской ветви индоевропейских языков?,термин индоиранские языки,индоиранские языки,1.0213518142700195,18
80474,google/gemini-2.5-flash-lite,detailed,0.7,Вследствие чего возникают сезоны?,вследствие наклона земной оси относительно плоскости орбиты,наклона земной оси,0.40612053871154785,18
66281,google/gemini-2.5-flash-lite,detailed,0.7,"Какой статьей допускаются исключения в отношении запрета, установленного частью 6 статьи 9?",частью 4 статьи 9 Закона о торговле,частью 4 статьи 9,0.42036938667297363,17
45026,google/gemini-2.5-flash-lite,detailed,0.7,"При игре на каком инструменте используется ударный способ, когда медные тангеноты вдавливают струны в твёрдую поверхность и заставляют их вибрировать от удара?",на клавикорде,клавикорд,0.41921401023864746,9
59480,google/gemini-2.5-flash-lite,detailed,0.7,Кто частично финансировал проект Луи?,старший брат Огюст,старший брат Огюст,0.4644777774810791,18
76436,google/gemini-2.5-flash-lite,detailed,0.7,Что образуется в результате выделения газов при быстром застывании кислых и средних лав?,пористое вулканическое стекло,пемза,0.38181018829345703,5
14891,google/gemini-2.5-flash-lite,detailed,0.7,Для чего пути кладутся с учётом габаритов подвижного состава?,"для безопасного прохода по мостам, тоннелям и другим строениям","Для безопасного прохода по мостам, тоннелям и другим строениям",0.480238676071167,62
20762,google/gemini-2.5-flash-lite,detailed,0.7,"Что оценивают, определяя меру развития государственного регулирования?","селективное регулирование, антициклическое регулирование, программирование","антимонополистическое регулирование, государственное регулирование, регулирование со стороны общественных объединений",0.39706969261169434,117
82940,google/gemini-2.5-flash-lite,detailed,0.7,На что надеется автор?,это поможет решить проблемы человеческого общества,решить проблемы человеческого общества в 21 веке,0.3864738941192627,48
379,google/gemini-2.5-flash-lite,detailed,0.7,Куда Карл неоднократно вторгался?,В Бретань.,Бретань,0.46800875663757324,7
28946,google/gemini-2.5-flash-lite,detailed,0.7,Что позволила изобразить писателю свойственная ему объективность?,Динамику внутренней жизни героев.,динамику внутренней жизни героев,0.5730223655700684,32
42607,google/gemini-2.5-flash-lite,detailed,0.7,"В каком году Сакс приехал в Париж, для того, чтобы продвинуть саксофон?",1842,1842,0.44271159172058105,4
43591,google/gemini-2.5-flash-lite,detailed,0.7,Какой фасад имеет вид театральной декорации?,Двухъярусный,Двухъярусный,0.5784275531768799,12
80345,google/gemini-2.5-flash-lite,detailed,0.7,С какого момепнта управлению Сибирью перешло к казанскому дворцу?,С 1599 г.,С 1599 г,0.5554530620574951,8
8167,google/gemini-2.5-flash-lite,detailed,0.7,"Как называлось первое устройство, использующееся только в качестве микрофона?",угольный микрофон Эдисона,угольный микрофон Эдисона,0.4101991653442383,25
36561,google/gemini-2.5-flash-lite,detailed,0.7,В каком году было подписано соглашение между MasterCard International и европейской системой Eurocard?,В 1968 г.,1968,0.36783695220947266,4
58300,google/gemini-2.5-flash-lite,detailed,0.7,При какое температуре происходит возбуждение вращательных уровней молекулы CO?,в несколько десятков кельвин,несколько десятков кельвин,0.5134589672088623,26
16443,google/gemini-2.5-flash-lite,detailed,0.7,С помощью чего могут быть изменены вариации ВМП?,При помощи спутниковой альтиметрии.,спутниковой альтиметрии,0.4100606441497803,23
49387,google/gemini-2.5-flash-lite,detailed,0.7,Какие есть виды смешанного состава облаков,"кучево-дождевые, слоисто-дождевые, высоко-слоистые","кучево-дождевые, слоисто-дождевые, высоко-слоистые",0.439988374710083,50
